Permissible Values	Label	NCIT	ICD10CM	ICD9	ICD-O_3.1
MONDO:0006166	columnar cell hyperplasia of the breast	NCIT:C54183			
MONDO:0006167	combined lung carcinoma	NCIT:C7591			
MONDO:0006169	complex endometrial hyperplasia	NCIT:C35423			
MONDO:0006170	conjunctival disorder	NCIT:C27605			
MONDO:0006172	conjunctival nevus	NCIT:C4551			
MONDO:0006173	conjunctival squamous cell carcinoma	NCIT:C4549			
MONDO:0006174	cortisol-producing adrenal cortex adenoma	NCIT:C48449			
MONDO:0006176	cribriform carcinoma	NCIT:C3680			8201/3
MONDO:0006178	dedifferentiated solitary fibrous tumor	NCIT:C79948			
MONDO:0006179	desmoplastic ameloblastoma	NCIT:C39758			
MONDO:0006180	digestive system adenoma	NCIT:C36207			
MONDO:0006181	digestive system carcinoma	NCIT:C96963			
MONDO:0006182	digestive system mixed adenoneuroendocrine carcinoma	NCIT:C95406			
MONDO:0006183	disseminated peritoneal leiomyomatosis	NCIT:C3958			
MONDO:0006184	ductal breast carcinoma in situ and lobular carcinoma in situ	NCIT:C4195			8522/2
MONDO:0006186	duodenal adenocarcinoma	NCIT:C7889			
MONDO:0006187	duodenal villous adenoma	NCIT:C5338			
MONDO:0006188	EBV-positive T-cell lymphoproliferative disorder of childhood	NCIT:C80373			
MONDO:0006189	eccrine porocarcinoma	NCIT:C5560			8409/3
MONDO:0006190	endolymphatic sac tumor	NCIT:C67560			
MONDO:0006191	endometrial clear cell adenocarcinoma	NCIT:C8028			
MONDO:0006192	endometrial endometrioid adenocarcinoma	NCIT:C6287			
MONDO:0006193	endometrial hyperplasia without atypia	NCIT:C40157			
MONDO:0006195	endometrial polyp	NCIT:C6433			
MONDO:0006196	endometrial serous adenocarcinoma	NCIT:C27838			
MONDO:0006197	endometrial small cell carcinoma	NCIT:C40155			
MONDO:0006198	endometrial squamous cell carcinoma	NCIT:C8719			
MONDO:0006199	endometrial undifferentiated carcinoma	NCIT:C40156			
MONDO:0006200	epithelioid cell uveal melanoma	NCIT:C35780			
MONDO:0006201	ethmoid sinus adenoid cystic carcinoma	NCIT:C6238			
MONDO:0006202	extrahepatic bile duct adenosquamous carcinoma	NCIT:C5778			
MONDO:0006203	extrahepatic bile duct squamous cell carcinoma	NCIT:C5777			
MONDO:0006206	fallopian tube carcinoma	NCIT:C3867			
MONDO:0006207	fallopian tube carcinosarcoma	NCIT:C40124			
MONDO:0006208	fallopian tube serous adenocarcinoma	NCIT:C40099			
MONDO:0006209	fibroblastic neoplasm	NCIT:C7075			
MONDO:0006210	fibrolamellar hepatocellular carcinoma	NCIT:C4131			8171/3
MONDO:0006211	fibrous hamartoma of infancy	NCIT:C3942			
MONDO:0006212	flat urothelial hyperplasia	NCIT:C27878			
MONDO:0006213	floor of mouth mucoepidermoid carcinoma	NCIT:C8178			
MONDO:0006214	follicular variant thyroid gland papillary carcinoma	NCIT:C126594			
MONDO:0006215	gallbladder adenocarcinoma	NCIT:C9166			
MONDO:0006216	gallbladder adenoma	NCIT:C7720			
MONDO:0006217	gallbladder adenosquamous carcinoma	NCIT:C7356			
MONDO:0006218	gallbladder biliary intraepithelial neoplasia	NCIT:C43606			
MONDO:0006219	gallbladder small cell neuroendocrine carcinoma	NCIT:C6763			
MONDO:0006220	gallbladder squamous cell carcinoma	NCIT:C9170			
MONDO:0006221	gastric adenoma	NCIT:C7699			
MONDO:0006222	gastric choriocarcinoma	NCIT:C95749			
MONDO:0006223	gastric diffuse large B-cell lymphoma	NCIT:C5253			
MONDO:0006224	gastric hamartomatous polyp	NCIT:C4373			
MONDO:0006225	gastric mantle cell lymphoma	NCIT:C27440			
MONDO:0006226	gastric mucosa-associated lymphoid tissue lymphoma	NCIT:C5266			
MONDO:0006227	gastric neuroendocrine tumor G1	NCIT:C4635			
MONDO:0006228	gastric papillary adenocarcinoma	NCIT:C5472			
MONDO:0006229	gastric small cell neuroendocrine carcinoma	NCIT:C6764			
MONDO:0006230	gastric squamous cell carcinoma	NCIT:C5475			
MONDO:0006231	gastrointestinal hamartoma	NCIT:C96475			
MONDO:0006232	giant cell tumor of soft tissue	NCIT:C49107			9251/1
MONDO:0006233	gonadal teratoma	NCIT:C98291			
MONDO:0006234	grade III prostatic intraepithelial neoplasia	NCIT:C3642			8148/2
MONDO:0006235	granular cell tumor	NCIT:C3474			9580/0
MONDO:0006237	granulocytic sarcoma	NCIT:C35815			9930/3
MONDO:0006238	growth hormone-producing pituitary gland adenoma	NCIT:C7461			
MONDO:0006239	head and neck paraganglioma	NCIT:C5327			
MONDO:0006243	hepatoid adenocarcinoma	NCIT:C66950			8576/3
MONDO:0006244	HER2 positive breast carcinoma	NCIT:C53556			
MONDO:0006245	hidradenocarcinoma	NCIT:C54664			8402/3
MONDO:0006246	high grade surface osteosarcoma	NCIT:C53958			9194/3
MONDO:0006247	histiocytic and dendritic cell neoplasm	NCIT:C9294			
MONDO:0006248	hydatidiform mole	NCIT:C3110		ICD9:631	9100/0
MONDO:0006249	hyperplastic polyp	NCIT:C4083			
MONDO:0006250	ileal neuroendocrine tumor G1	NCIT:C4935			
MONDO:0006254	intestinal type adenocarcinoma	NCIT:C4126			8144/3
MONDO:0006255	intimal sarcoma	NCIT:C53677			
MONDO:0006256	invasive breast carcinoma	NCIT:C9245			
MONDO:0006257	jejunal neuroendocrine tumor G1	NCIT:C6429			
MONDO:0006258	juvenile polyp	NCIT:C3826			
MONDO:0006260	kidney medullary carcinoma	NCIT:C7572			
MONDO:0006262	lacrimal gland adenoid cystic carcinoma	NCIT:C4540			
MONDO:0006264	laryngeal adenoid cystic carcinoma	NCIT:C9462			
MONDO:0006265	laryngeal small cell carcinoma	NCIT:C6025			
MONDO:0006266	Leydig cell tumor	NCIT:C3188			8650/1
MONDO:0006267	liver cavernous hemangioma	NCIT:C96839			
MONDO:0006268	liver diffuse large B-cell lymphoma	NCIT:C96843			
MONDO:0006270	lobular breast carcinoma in situ	NCIT:C4018			8520/2
MONDO:0006271	low grade central osteosarcoma	NCIT:C6474			9187/3
MONDO:0006272	low grade fibromyxoid sarcoma	NCIT:C45202			
MONDO:0006273	low grade fibromyxoid sarcoma with giant collagen rosettes	NCIT:C45203			
MONDO:0006274	low grade vulvar intraepithelial neoplasia	NCIT:C4760			
MONDO:0006275	lung giant cell carcinoma	NCIT:C4452			
MONDO:0006276	lung inflammatory myofibroblastic tumor	NCIT:C39740			
MONDO:0006277	lung lymphangioleiomyomatosis	NCIT:C38153			
MONDO:0006278	lung papilloma	NCIT:C8295			
MONDO:0006279	lung sarcomatoid carcinoma	NCIT:C45540			
MONDO:0006280	lung sclerosing hemangioma	NCIT:C5656			
MONDO:0006281	lung signet ring cell carcinoma	NCIT:C45514			
MONDO:0006282	lymphangiosarcoma	NCIT:C3205			9170/3
MONDO:0006283	lymphoepithelioma-like lung carcinoma	NCIT:C45519			
MONDO:0006284	major salivary gland carcinoma	NCIT:C5907			
MONDO:0006285	major salivary gland carcinoma ex pleomorphic adenoma	NCIT:C5975			
MONDO:0006286	major salivary gland mucoepidermoid carcinoma	NCIT:C5906			
MONDO:0006287	malignancy in giant cell tumor of bone	NCIT:C4304			9250/3
MONDO:0006288	malignant adrenal gland pheochromocytoma	NCIT:C4220			8700/3
MONDO:0006290	malignant germ cell tumor	NCIT:C4925			
MONDO:0006291	malignant jugulotympanic paraganglioma	NCIT:C4623			
MONDO:0006292	malignant mesothelioma	NCIT:C4456			9050/3
MONDO:0006294	pleural cancer	NCIT:C3547		ICD9:163	
MONDO:0006295	malignant urinary system neoplasm	NCIT:C192668			
MONDO:0006297	maxillary sinus adenoid cystic carcinoma	NCIT:C6239			
MONDO:0006298	mediastinal malignant germ cell tumor	NCIT:C6446			
MONDO:0006300	medullomyoblastoma with myogenic differentiation	NCIT:C3706			9472/3
MONDO:0006301	metanephric adenoma	NCIT:C27253			8325/0
MONDO:0006302	micropapillary serous carcinoma	NCIT:C6882			8460/3
MONDO:0006303	middle ear squamous cell carcinoma	NCIT:C6086			
MONDO:0006304	minor salivary gland adenocarcinoma	NCIT:C5948			
MONDO:0006306	mixed lobular and ductal breast carcinoma	NCIT:C5160			8522/3
MONDO:0006307	mixed somatotroph-lactotroph pituitary gland adenoma	NCIT:C45927			
MONDO:0006309	mucinous gastric adenocarcinoma	NCIT:C5248			
MONDO:0006311	myelodysplastic/myeloproliferative neoplasm	NCIT:C27262			
MONDO:0006312	myofibroma	NCIT:C7052			8824/0
MONDO:0006313	nabothian cyst	NCIT:C34835			
MONDO:0006314	nasal cavity polyp	NCIT:C3256			
MONDO:0006315	obsolete neoplastic medium-sized B-lymphocyte with basophilic cytoplasm	NCIT:C37005			
MONDO:0006316	neuroblastic tumor	NCIT:C6963			
MONDO:0006317	neurothekeoma	NCIT:C7018			9562/0
MONDO:0006320	non-cutaneous melanoma	NCIT:C8711			
MONDO:0006321	non-functioning adrenal cortex adenoma	NCIT:C48458			
MONDO:0006322	non-neoplastic bile duct disorder	NCIT:C35774			
MONDO:0006324	normal breast-like subtype of breast carcinoma	NCIT:C53557			
MONDO:0006325	ocular melanoma	NCIT:C8562			
MONDO:0006326	ocular melanoma with extraocular extension	NCIT:C7913			
MONDO:0006327	ocular sebaceous carcinoma	NCIT:C43340			
MONDO:0006328	odontogenic cyst	NCIT:C54220			
MONDO:0006329	olfactory neuroblastoma	NCIT:C3789			9522/3
MONDO:0006330	ossifying fibromyxoid tumor	NCIT:C6582			8842/0
MONDO:0006335	ovarian endometrioid adenocarcinoma	NCIT:C7979			
MONDO:0006336	ovarian endometrioid adenocarcinoma with squamous differentiation	NCIT:C40061			
MONDO:0006337	ovarian endometriosis	NCIT:C27628			
MONDO:0006339	ovarian microcystic stromal tumor	NCIT:C121953			
MONDO:0006340	ovarian serous adenofibroma	NCIT:C40031			
MONDO:0006343	ovarian transitional cell carcinoma	NCIT:C5240			
MONDO:0006344	ovarian yolk sac tumor	NCIT:C8107			
MONDO:0006345	palmar fibromatosis	NCIT:C3469			
MONDO:0006346	pancreatic acinar cell carcinoma	NCIT:C7977			
MONDO:0006347	pancreatic large cell neuroendocrine carcinoma	NCIT:C95582			
MONDO:0006348	pancreatic small cell neuroendocrine carcinoma	NCIT:C95583			
MONDO:0006349	papillary cystic neoplasm	NCIT:C4179			8452/1
MONDO:0006350	papillary transitional cell carcinoma	NCIT:C4122			8130/3
MONDO:0006351	parachordoma	NCIT:C6581			9373/0
MONDO:0006352	paranasal sinus adenoid cystic carcinoma	NCIT:C6019			
MONDO:0006353	paranasal sinus Schneiderian papilloma	NCIT:C6835			
MONDO:0006354	parathyroid hyperplasia	NCIT:C3989			
MONDO:0006355	parotid gland acinic cell carcinoma	NCIT:C5933			
MONDO:0006356	parotid gland adenoid cystic carcinoma	NCIT:C5937			
MONDO:0006357	parotid gland carcinoma ex pleomorphic adenoma	NCIT:C5974			
MONDO:0006358	parotid gland squamous cell carcinoma	NCIT:C5942			
MONDO:0006359	neoplasm with perivascular epithelioid cell differentiation	NCIT:C38150			
MONDO:0006360	penile carcinoma	NCIT:C9061			
MONDO:0006362	peritoneal mesothelioma	NCIT:C7633			
MONDO:0006363	peritoneal multicystic mesothelioma	NCIT:C6536			
MONDO:0006364	peritoneal well differentiated papillary mesothelioma	NCIT:C45661			
MONDO:0006365	Peutz-Jeghers polyp	NCIT:C4733			
MONDO:0006366	Peutz-Jeghers polyp of the stomach	NCIT:C36205			
MONDO:0006367	pharyngeal adenoid cystic carcinoma	NCIT:C5818			
MONDO:0006368	phosphaturic mesenchymal tumor	NCIT:C67237			
MONDO:0006369	pineal parenchymal tumor of intermediate differentiation	NCIT:C6967			9362/3
MONDO:0006372	pituicytoma	NCIT:C94524			9432/1
MONDO:0006373	pituitary gland adenoma	NCIT:C3329			8272/0
MONDO:0006374	placental choriocarcinoma	NCIT:C8893			
MONDO:0006375	placental hemangioma	NCIT:C4868			
MONDO:0006377	pleural biphasic mesothelioma	NCIT:C45665			
MONDO:0006378	pleural epithelioid mesothelioma	NCIT:C45662			
MONDO:0006380	pleural sarcomatoid mesothelioma	NCIT:C45663			
MONDO:0006381	plexiform ameloblastoma	NCIT:C39753			
MONDO:0006382	poorly differentiated thyroid gland carcinoma	NCIT:C6040			8337/3
MONDO:0006383	primary cutaneous diffuse large B-cell lymphoma, Leg type	NCIT:C45194			
MONDO:0006385	primary intraosseous squamous cell carcinoma	NCIT:C54295			
MONDO:0006386	primary peritoneal serous adenocarcinoma	NCIT:C40023			
MONDO:0006387	primary pulmonary diffuse large B-cell lymphoma	NCIT:C45605			
MONDO:0006388	prolactin-producing pituitary gland carcinoma	NCIT:C5962			
MONDO:0006389	prostate rhabdomyosarcoma	NCIT:C5522			
MONDO:0006390	prostate small cell carcinoma	NCIT:C6766			
MONDO:0006391	pyloric gland adenoma	NCIT:C43526			
MONDO:0006392	rectal hyperplastic polyp	NCIT:C5619			
MONDO:0006393	rectal traditional serrated adenoma	NCIT:C96463			
MONDO:0006394	rectal tubular adenoma	NCIT:C96477			
MONDO:0006395	rectal tubulovillous adenoma	NCIT:C5620			
MONDO:0006396	rectal villous adenoma	NCIT:C4919			
MONDO:0006397	renal cell carcinoma associated with Xp11.2 translocations/TFE3 gene fusions	NCIT:C27891			
MONDO:0006398	retroperitoneal inflammatory myofibroblastic tumor	NCIT:C39741			
MONDO:0006400	salivary gland acinic cell carcinoma	NCIT:C8013			
MONDO:0006401	salivary gland adenosquamous carcinoma	NCIT:C35737			
MONDO:0006402	salivary gland basal cell adenocarcinoma	NCIT:C3678			8147/3
MONDO:0006403	salivary gland carcinoma ex pleomorphic adenoma	NCIT:C40410			
MONDO:0006404	salivary gland large cell carcinoma	NCIT:C35735			
MONDO:0006405	salivary gland small cell carcinoma	NCIT:C35703			
MONDO:0006406	sarcomatoid carcinoma	NCIT:C27004			8032/3
MONDO:0006407	sarcomatoid mesothelioma	NCIT:C45655			9051/3
MONDO:0006408	sex hormone-producing adrenal cortex adenoma	NCIT:C48452			
MONDO:0006409	signet ring cell gastric adenocarcinoma	NCIT:C5250			
MONDO:0006410	simple endometrial hyperplasia	NCIT:C35463			
MONDO:0006411	sinonasal undifferentiated carcinoma	NCIT:C54294			
MONDO:0006412	sinus histiocytosis with massive lymphadenopathy	NCIT:C36075			
MONDO:0006414	skin sarcoma	NCIT:C5585			
MONDO:0006416	small intestinal Burkitt lymphoma	NCIT:C27409			
MONDO:0006417	small intestinal diffuse large B-cell lymphoma	NCIT:C96055			
MONDO:0006418	small intestinal enteropathy-associated T-cell lymphoma	NCIT:C39610			
MONDO:0006419	small intestinal intraepithelial neoplasia	NCIT:C27462			
MONDO:0006420	small intestinal mucosa-associated lymphoid tissue lymphoma	NCIT:C5635			
MONDO:0006421	small intestinal tubular adenoma	NCIT:C43552			
MONDO:0006422	small intestinal tubulovillous adenoma	NCIT:C43553			
MONDO:0006423	soft tissue chondroma	NCIT:C9482			
MONDO:0006424	soft tissue neoplasm	NCIT:C3377			
MONDO:0006426	spinal cord primitive neuroectodermal tumor	NCIT:C5406			
MONDO:0006427	spindle cell melanoma	NCIT:C4237			8772/3
MONDO:0006428	splenic diffuse large B-cell lymphoma	NCIT:C7308			
MONDO:0006429	splenic hodgkin lymphoma	NCIT:C7295			
MONDO:0006430	splenic mantle cell lymphoma	NCIT:C7306			
MONDO:0006432	stromal predominant kidney Wilms tumor	NCIT:C9148			
MONDO:0006435	submandibular gland adenocarcinoma	NCIT:C5940			
MONDO:0006436	submandibular gland adenoid cystic carcinoma	NCIT:C5935			
MONDO:0006438	synovial chondromatosis	NCIT:C34467			
MONDO:0006442	tendon sheath fibroma	NCIT:C6485			
MONDO:0006444	teratoma with malignant transformation	NCIT:C4289			9084/3
MONDO:0006446	testicular embryonal carcinoma	NCIT:C6341			
MONDO:0006447	testicular non-seminomatous germ cell tumor	NCIT:C9313			
MONDO:0006450	therapy-related myeloid neoplasm	NCIT:C27912			9920/3
MONDO:0006451	thymic carcinoma	NCIT:C7569			8586/3
MONDO:0006452	thymic sarcomatoid carcinoma	NCIT:C6463			
MONDO:0006455	thymic undifferentiated carcinoma	NCIT:C35718			
MONDO:0006456	thymoma	NCIT:C3411			8580/1
MONDO:0006458	thymoma type B3	NCIT:C7997			8585/1
MONDO:0006459	thymoma type B1	NCIT:C6887			8583/1
MONDO:0006462	thyroid gland diffuse large B-cell lymphoma	NCIT:C6046			
MONDO:0006463	thyroid gland mucoepidermoid carcinoma	NCIT:C38762			
MONDO:0006464	thyroid gland mucosa-associated lymphoid tissue lymphoma	NCIT:C7601			
MONDO:0006466	thyroid gland spindle cell tumor with thymus-like differentiation	NCIT:C46105			8588/3
MONDO:0006467	thyroid gland squamous cell carcinoma	NCIT:C46008			
MONDO:0006468	thyroid gland undifferentiated (anaplastic) carcinoma	NCIT:C3878			
MONDO:0006469	tibial adamantinoma	NCIT:C8461			9261/3
MONDO:0006470	tonsillar squamous cell carcinoma	NCIT:C8183			
MONDO:0006471	tracheal adenoid cystic carcinoma	NCIT:C6051			
MONDO:0006474	transitional cell carcinoma	NCIT:C2930			8120/3
MONDO:0006475	obsolete unclassified renal cell carcinoma	NCIT:C27892			
MONDO:0006476	undifferentiated gallbladder carcinoma	NCIT:C9167			
MONDO:0006477	undifferentiated ovarian carcinoma	NCIT:C4509			
MONDO:0006478	undifferentiated pancreatic carcinoma	NCIT:C5722			
MONDO:0006479	undifferentiated pancreatic carcinoma with osteoclast-like giant cells	NCIT:C5723			
MONDO:0006480	undifferentiated pleomorphic sarcoma, inflammatory variant	NCIT:C6497			
MONDO:0006481	ureter carcinoma	NCIT:C8993			
MONDO:0006482	ureter small cell carcinoma	NCIT:C6176			
MONDO:0006483	urothelial dysplasia	NCIT:C39856			
MONDO:0006484	usual ductal breast hyperplasia	NCIT:C27941			
MONDO:0006485	uterine carcinosarcoma	NCIT:C42700			
MONDO:0006486	uveal melanoma	NCIT:C7712			
MONDO:0006487	vaginal adenoid cystic carcinoma	NCIT:C40261			
MONDO:0006488	vaginal carcinosarcoma	NCIT:C40278			
MONDO:0006489	vaginal melanoma	NCIT:C27394			
MONDO:0006490	vaginal squamous cell carcinoma	NCIT:C180915			
MONDO:0006491	vulvar lichen sclerosus	NCIT:C27723			
MONDO:0006493	Warthin tumor	NCIT:C2854			8561/0
MONDO:0006497	cerebral palsy	NCIT:C34460	ICD10CM:G80		
MONDO:0006498	adenomatous colon polyp	NCIT:C96479			
MONDO:0006499	hamartoma	NCIT:C3075			
MONDO:0006500	hemangioma	NCIT:C3085			9120/0
MONDO:0006502	acute respiratory distress syndrome	NCIT:C3353	ICD10CM:J80		
MONDO:0006507	hereditary hemochromatosis	NCIT:C84481			
MONDO:0006509	papillary carcinoma	NCIT:C2927			8050/3
MONDO:0006515	acute pancreatitis	NCIT:C95437			
MONDO:0006517	childhood malignant neoplasm	NCIT:C4005			
MONDO:0006519	rectal cancer	NCIT:C7418			
MONDO:0006520	Achenbach syndrome	NCIT:C35467			
MONDO:0006521	acneiform dermatitis	NCIT:C35277			
MONDO:0006522	acquired keratosis	NCIT:C34746			
MONDO:0006523	acrodermatitis	NCIT:C84532			
MONDO:0006525	allergic contact dermatitis	NCIT:C26998	ICD10CM:L23		
MONDO:0006530	cholesteatoma	NCIT:C2944			
MONDO:0006533	cholesteatoma of middle ear	NCIT:C3654	ICD10CM:H71		
MONDO:0006539	diffuse lipomatosis	NCIT:C6504			
MONDO:0006541	epidermolysis bullosa	NCIT:C67383	ICD10CM:Q81		
MONDO:0006543	epidermolysis bullosa dystrophica	NCIT:C84691			
MONDO:0006544	erythema infectiosum	NCIT:C84695			
MONDO:0006545	erythema multiforme	NCIT:C3024	ICD10CM:L51		
MONDO:0006546	erythematosquamous dermatosis	NCIT:C34591		ICD9:690	
MONDO:0006547	exanthem	NCIT:C39594			
MONDO:0006549	fibroepithelial polyp of the anus	NCIT:C4435			
MONDO:0006550	fibroepithelial polyp of urethra	NCIT:C6170			
MONDO:0006551	alopecia mucinosa	NCIT:C82859			
MONDO:0006552	folliculitis	NCIT:C94408			
MONDO:0006553	Fox-Fordyce disease	NCIT:C84716			
MONDO:0006554	granuloma annulare	NCIT:C3470			
MONDO:0006555	granulomatous dermatitis	NCIT:C3505			
MONDO:0006557	hemangioma of subcutaneous tissue	NCIT:C8540			
MONDO:0006558	pemphigoid gestationis	NCIT:C85003			
MONDO:0006562	obsolete incontinentia pigmenti achromians	NCIT:C7582			
MONDO:0006563	inverted follicular keratosis	NCIT:C9007			
MONDO:0006564	irritant dermatitis	NCIT:C27151			
MONDO:0006566	keratosis	NCIT:C34745			
MONDO:0006567	kernicterus due to isoimmunization	NCIT:C101270			
MONDO:0006570	lichen disease			ICD9:697	
MONDO:0006572	lichen planus	NCIT:C3189	ICD10CM:L43		
MONDO:0006573	lipodystrophy	NCIT:C97093			
MONDO:0006574	lipomatosis	NCIT:C3193			
MONDO:0006577	maxillary sinus cholesteatoma	NCIT:C35868			
MONDO:0006578	mediastinal lipomatosis	NCIT:C27488			
MONDO:0006579	melanoacanthoma	NCIT:C27548			
MONDO:0006580	miliaria	NCIT:C34820			
MONDO:0006582	mongolian spot	NCIT:C3945			
MONDO:0006583	necrobiosis lipoidica	NCIT:C34840			
MONDO:0006585	neurodermatitis	NCIT:C111963			
MONDO:0006589	occupational dermatitis	NCIT:C34859			
MONDO:0006590	palmoplantar keratosis	NCIT:C34748			
MONDO:0006591	panniculitis	NCIT:C33645			
MONDO:0006592	parapsoriasis	NCIT:C3312	ICD10CM:L41		
MONDO:0006593	pelvic lipomatosis	NCIT:C27486			
MONDO:0006594	pemphigus	NCIT:C34909	ICD10CM:L10		
MONDO:0006598	phototoxic dermatitis	NCIT:C4816			
MONDO:0006601	pityriasis rosea	NCIT:C26855	ICD10CM:L42		
MONDO:0006602	porokeratosis	NCIT:C85019			
MONDO:0006603	reactive cutaneous fibrous lesion	NCIT:C27549			
MONDO:0006604	rosacea	NCIT:C97136	ICD10CM:L71		
MONDO:0006606	scleredema adultorum	NCIT:C85057			
MONDO:0006608	seborrheic dermatitis	NCIT:C111888			
MONDO:0006610	skin atrophy	NCIT:C35163			
MONDO:0006611	skin sarcoidosis	NCIT:C34996			
MONDO:0006612	steroid lipomatosis	NCIT:C27487			
MONDO:0006615	sweat gland disorder			ICD9:705	
MONDO:0006620	vulva fibroepithelial polyp	NCIT:C6857			
MONDO:0006621	vulvar inverted follicular keratosis	NCIT:C40291			
MONDO:0006622	vulvar seborrheic keratosis	NCIT:C6375			
MONDO:0006626	diabetic neuropathy	NCIT:C26748			
MONDO:0006629	osteoarthritis, hip	NCIT:C34876			
MONDO:0006633	acalculous cholecystitis	NCIT:C35578			
MONDO:0006634	pituitary gland acidophil adenoma	NCIT:C6780			8280/0
MONDO:0006637	acute kidney tubular necrosis	NCIT:C34749			
MONDO:0006639	adrenal cortex carcinoma	NCIT:C2858			8370/0
MONDO:0006643	alcoholic cardiomyopathy	NCIT:C53653			
MONDO:0006644	alcoholic liver cirrhosis	NCIT:C34782			
MONDO:0006645	alcoholic polyneuropathy	NCIT:C26926			
MONDO:0006646	angioleiomyoma	NCIT:C3747			8894/0
MONDO:0006651	anterior uveitis	NCIT:C35109			
MONDO:0006653	anthracosilicosis	NCIT:C34389			
MONDO:0006654	anthracosis	NCIT:C34390		ICD9:500	
MONDO:0006656	aortitis	NCIT:C97085			
MONDO:0006658	arteriolosclerosis	NCIT:C35543	ICD10CM:I70		
MONDO:0006660	arthus reaction	NCIT:C34400			
MONDO:0006662	aseptic meningitis	NCIT:C118299			
MONDO:0006663	perinatal asphyxia	NCIT:C116313			
MONDO:0006664	atrial septal defect	NCIT:C84473			
MONDO:0006665	chronic atrophic gastritis	NCIT:C7405			
MONDO:0006666	atrophy of thyroid	NCIT:C26942			
MONDO:0006668	bacterial conjunctivitis	NCIT:C53656			
MONDO:0006669	bacterial endocarditis	NCIT:C128359			
MONDO:0006670	bacterial meningitis	NCIT:C118297		ICD9:320	
MONDO:0006672	balanitis	NCIT:C26705			
MONDO:0006673	pituitary gland basophil adenoma	NCIT:C2856			8300/0
MONDO:0006674	obsolete benign fibrous mesothelioma	NCIT:C4457			9051/0
MONDO:0006676	beriberi	NCIT:C34418			
MONDO:0006680	blue nevus	NCIT:C3803			8780/0
MONDO:0006682	brachial plexus neuritis	NCIT:C84600			
MONDO:0006683	brachial plexus neuropathy	NCIT:C27194			
MONDO:0006687	burning mouth syndrome	NCIT:C62545			
MONDO:0006688	byssinosis	NCIT:C84605		ICD9:504	
MONDO:0006692	central pontine myelinolysis	NCIT:C84623			
MONDO:0006694	cerebral atherosclerosis	NCIT:C34459			
MONDO:0006700	choroid cancer	NCIT:C3566			
MONDO:0006701	chromophobe adenoma	NCIT:C2857			8270/0
MONDO:0006702	chronic inflammatory demyelinating polyradiculoneuropathy	NCIT:C84636			
MONDO:0006711	constrictive pericarditis	NCIT:C78246			
MONDO:0006716	coronary thrombosis		ICD10CM:I21		
MONDO:0006717	cutaneous fibrous histiocytoma	NCIT:C6801			8832/0
MONDO:0006722	dental fluorosis	NCIT:C85059			
MONDO:0006726	diaphragmatic eventration	NCIT:C98912			
MONDO:0006733	dry eye syndrome	NCIT:C34553			
MONDO:0006734	benign duodenal neoplasm	NCIT:C4775			
MONDO:0006738	eccrine acrospiroma	NCIT:C27273			8409/0
MONDO:0006740	empty sella syndrome	NCIT:C84686			
MONDO:0006741	encephalomalacia	NCIT:C98920			
MONDO:0006742	endemic goiter	NCIT:C35023			
MONDO:0006745	endometrioid stromal sarcoma	NCIT:C8973			8930/3
MONDO:0006746	endomyocardial fibrosis	NCIT:C34585			
MONDO:0006749	mixed epithelioid and spindle cell melanoma	NCIT:C66756			8770/3
MONDO:0006752	Erysipelothrix rhusiopathiae infectious disease		ICD10CM:A26		
MONDO:0006755	euthyroid sick syndrome	NCIT:C113170			
MONDO:0006759	femoral neuropathy	NCIT:C27595			
MONDO:0006760	fetal erythroblastosis	NCIT:C101304		ICD9:773	
MONDO:0006761	fibromuscular dysplasia	NCIT:C84714			
MONDO:0006767	gastric antral vascular ectasia	NCIT:C84724			
MONDO:0006770	giant cell reparative granuloma	NCIT:C121893			
MONDO:0006777	hairy tongue	NCIT:C35075			
MONDO:0006778	halo nevus	NCIT:C7602			8723/0
MONDO:0006784	hemorrhagic disease of newborn	NCIT:C111857	ICD10CM:P53		
MONDO:0006787	hidrocystoma	NCIT:C3760			8404/0
MONDO:0006794	hypersensitivity vasculitis	NCIT:C82863			
MONDO:0006795	hypersplenism	NCIT:C34714			
MONDO:0006796	hypertensive encephalopathy	NCIT:C3503			
MONDO:0006797	hypertensive retinopathy	NCIT:C3514			
MONDO:0006799	hypothalamic neoplasm	NCIT:C3129			
MONDO:0006801	ileal neoplasm	NCIT:C3130			
MONDO:0006802	inappropriate ADH syndrome	NCIT:C3988			
MONDO:0006804	inflammatory breast carcinoma	NCIT:C4001			
MONDO:0006806	intermediate uveitis	NCIT:C35110			
MONDO:0006807	intestinal perforation	NCIT:C39611			
MONDO:0006813	intradermal nevus	NCIT:C3804			8750/0
MONDO:0006814	iritis	NCIT:C50621			
MONDO:0006815	jejunal cancer	NCIT:C170919			
MONDO:0006816	arthropathy	NCIT:C35760		ICD9:711	
MONDO:0006817	juxtacortical osteosarcoma	NCIT:C8969			9192/3
MONDO:0006823	Klinefelter syndrome	NCIT:C34752			
MONDO:0006826	kwashiorkor		ICD10CM:E40	ICD9:260	
MONDO:0006827	lateral medullary syndrome	NCIT:C84807			
MONDO:0006828	nasal cavity and paranasal sinus lethal midline granuloma	NCIT:C8196			
MONDO:0006830	leukoplakia of penis	NCIT:C3151			
MONDO:0006834	lip cancer	NCIT:C7485	ICD10CM:C00	ICD9:140	
MONDO:0006835	lipoid nephrosis	NCIT:C34844			
