PERMITTED_VALUE	DESCRIPTION	DEFINITION
Warty Dyskeratoma	None	A rare, usually solitary, benign epithelial tumor of the skin that appears to arise from a hair follicle. It usually develops in the head and neck region as a nodular lesion with a central keratotic plug.
Well Differentiated Ovarian Sertoli-Leydig Cell Tumor	None	A Sertoli-Leydig tumor of the ovary characterized by the presence of Sertoli cells in tubules without evidence of significant nuclear atypia or mitotic activity. Primitive gonadal stromal cells are not present. It usually follows a benign clinical course.
Trichilemmoma	None	A benign neoplasm arising from the outer hair sheath and infundibulum. It occurs in the head and neck, usually on the face. It usually presents as an exophytic wart-like lesion or a dome-shaped lesion with smooth surface. Multiple facial lesions are usually associated with Cowden disease.
Trichofolliculoma	None	A skin appendage neoplasm with follicular differentiation. It usually occurs in the head and neck region, particularly the face. It presents as a solitary dome-shaped small lesion. The clinical course is benign.
Tubular Adenoma	None	A usually polypoid neoplasm arising from the glandular epithelium. It is characterized by a tubular architectural pattern. The neoplastic glandular cells have dysplastic features. Representative examples include the tubular adenomas of the colon and rectum.
Tufted Angioma	None	A capillary hemangioma of the skin usually presenting with patches or plaques.
Type A Spindle Cell Melanoma	None	A melanoma characterized by the presence of malignant spindle-shaped melanocytes with slender nuclei and no visible nucleoli. Representative example is the type A spindle cell uveal melanoma.
Undifferentiated Carcinoma with Osteoclast-Like Giant Cells	None	A usually aggressive malignant epithelial neoplasm composed of atypical cells which do not display evidence of glandular or squamous differentiation and giant cells resembling osteoclasts.
Undifferentiated Pleomorphic Sarcoma with Osteoclast-Like Giant Cells	None	An undifferentiated pleomorphic sarcoma characterized by the presence of osteoclast-like giant cells and cellular pleomorphism.
Undifferentiated Retinoblastoma	None	A retinoblastoma composed of small, undifferentiated cells. It is often associated with necrotic changes.
Urothelial Papilloma	None	A rare benign neoplasm that arises from the urinary tract and is characterized by the presence of a papillary growth with a central fibrovascular core. The latter is lined by normal urothelium.
Uterine Corpus Epithelioid Leiomyoma	None	A morphologic variant of uterine corpus leiomyoma characterized by the presence of round or polygonal epithelioid smooth muscle cells forming clusters.
Tenosynovial Giant Cell Tumor, Diffuse Type	None	A locally aggressive, diffusely infiltrating tumor, arising in the tendon sheath.  It is composed of synovial-like mononuclear cells, hemosiderin-laden macrophages, foam cells, and inflammatory cells.  Multinucleated osteoclast-like giant cells are usually present, although in a minority of cases they may be absent or rare.  It predominantly affects young adults.  Symptoms include joint swelling, pain, and joint effusion.
Teratoma with Somatic-Type Malignancy	None	A teratoma which is characterized by morphologic transformation to malignancy and an aggressive clinical course. The malignant component most often is sarcomatous or carcinomatous.
Testicular Germ Cell Neoplasia In Situ	None	A non-invasive lesion of the testis, characterized by the presence of malignant large germ cells with abundant cytoplasm in the seminiferous tubules. It may be associated with undescended or atrophic testis and infertility. The vast majority of cases progress to invasive germ cell tumors.
Testicular Leydig Cell Tumor	None	A sex cord-stromal tumor that arises from the testis and is characterized by the presence of cells that resemble the successive stages of development of Leydig cells.  It usually presents as a painless testicular mass.  Gynecomastia is present in approximately thirty percent of the cases.  Libido may be decreased.  In children, precocious puberty may be present.  A minority of cases exhibit malignant characteristics.
Testicular Seminoma with High Mitotic Index	None	A seminoma of the testis characterized by increased cellular pleomorphism, high mitotic activity, and a non-prominent stromal lymphocytic infiltrate.
Testicular Spermatocytic Tumor	None	A testicular germ cell tumor derived from postpubertal-type germ cells. It is characterized by the presence of three cell types: round cells with eosinophilic cytoplasm, small cells with dark nucleus and a small amount of cytoplasm, and mono-or multinucleated giant cells. The neoplastic cells are not cohesive. There is an edematous stroma present; lymphocytic infiltrates are rarely seen. Most patients are older males.
Therapy-Related Myelodysplastic Syndrome	None	A myelodysplastic syndrome caused by chemotherapy and/or radiotherapy.
Thymic Carcinoma	None	A diverse group of carcinomas of the thymus gland, previously known as thymoma type C (WHO-1999).  It includes morphologic variants derived from purely epithelial cells, as well as from cells with neuroendocrine differentiation.
Thymoma	None	A neoplasm originating from thymic tissue, usually benign, and frequently encapsulated. Although it is occasionally invasive, metastases are extremely rare. It consists of any type of thymic epithelial cell as well as lymphocytes that are usually abundant and probably not neoplastic. Malignant lymphomas that involve the thymus, e.g., lymphosarcoma, Hodgkin's disease (previously termed granulomatous thymoma), should not be regarded as thymoma. (Stedman, 25th ed)
Thyroid Gland Follicular Adenoma	None	A benign, encapsulated tumor, arising from the follicular cells of the thyroid gland. It may be associated with thyroid hormone secretion but it does not have malignant characteristics.
Thyroid Gland Follicular Carcinoma, Minimally Invasive	None	A follicular carcinoma of the thyroid gland showing capsular invasion only.
Thyroid Gland Follicular Tumor of Uncertain Malignant Potential	None	An encapsulated or well-circumscribed thyroid gland tumor composed of well-differentiated follicular cells with no nuclear features of papillary thyroid carcinoma and with questionable capsular or vascular invasion. This is a tumor indeterminate between follicular adenoma and follicular carcinoma. (WHO)
Thyroid Gland Macrofollicular Adenoma	None	A thyroid gland adenoma composed of large size follicles.
Thyroid Gland Microfollicular Adenoma	None	A thyroid gland adenoma composed of microfollicular structures.
Thyroid Gland Mixed Medullary and Papillary Carcinoma	None	A primary carcinoma of the thyroid gland containing a medullary carcinoma component that is immunohistochemically positive for calcitonin, and papillary carcinoma component that is immunohistochemically positive for thyroglobulin.
Thyroid Gland Papillary Microcarcinoma	None	A papillary carcinoma of the thyroid gland measuring 10mm or less in diameter.  The survival rates of patients with this type of carcinoma are the same with those of the normal population.
Thyroid Gland Well-Differentiated Tumor of Uncertain Malignant Potential	None	An encapsulated or well-circumscribed tumor composed of well-differentiated follicular cells with well-developed or partially developed nuclear features of papillary thyroid carcinoma and with questionable capsular or vascular invasion. That is this is a tumor indeterminate between follicular adenoma and follicular carcinoma. Tumors in which vascular invasion has been excluded by all means are called non-invasive follicular thyroid neoplasms with papillary-like nuclear features. (WHO 2017)
Trabecular Adenoma	None	A benign epithelial neoplasm characterized by the presence of a trabecular glandular architectural pattern.
Transient Abnormal Myelopoiesis Associated with Down Syndrome	None	A myeloid proliferation occurring in newborns with Down syndrome.  It is clinically and morphologically indistinguishable from acute myeloid leukemia and is associated with GATA1 mutations.  The blasts display morphologic and immunophenotypic features of megakaryocytic lineage.  In the majority of patients the myeloid proliferation undergoes spontaneous remission.
Transitional Meningioma	None	A WHO grade I meningioma characterized by the coexistence of meningothelial cells and fibrous architectural patterns.
Somatostatin-Producing Neuroendocrine Tumor	None	A rare, usually malignant neuroendocrine tumor arizing from delta cells.  This neoplasm produces large amounts of somatostatin, which may result in a syndrome characterized by diarrhea, steatorrhea, weight loss, and gastric hyposecretion. Sixty percent are found in the pancreas and 40% in the duodenum or jejunum. The peak incidence occurs between 40 and 60 years of age; women are affected more than men by 2:1.
Spindle Cell Lipoma	None	A benign circumscribed tumor composed of spindled cells, adipocytes, and collagen bundles.  There is no evidence of nuclear hyperchromasia or mitotic activity.
Spindle Cell Rhabdomyosarcoma	None	An uncommon variant of rhabdomyosarcoma characterized by the presence of whorls of spindle cells forming a storiform pattern. In children it usually arises in the paratesticular region. In adults it usually arises from the deep soft tissues in the head and neck.
Spindle Cell Squamous Cell Carcinoma	None	A poorly differentiated squamous cell carcinoma characterized by the presence of malignant cells with spindle cell features.
Spiradenocarcinoma	None	A very rare, aggressive carcinoma of the sweat glands arising from malignant transformation of a long standing spiradenoma. It usually grows in the upper extremities, lower extremities, trunk, and head and neck. It has the tendency to recur and metastasize most often to the lymph nodes, bones, and lungs.
Spitz Melanoma	None	A melanoma that shares histopathologic and clinical features with atypical Spitz nevus.
Splenic Marginal Zone Lymphoma	None	A B-cell non-Hodgkin lymphoma composed of small lymphocytes which surround and replace the splenic white pulp germinal centers.  It involves the spleen and splenic hilar lymph nodes, bone marrow, and often the peripheral blood.  The patients present with splenomegaly and the clinical course is indolent.  (WHO, 2001) -- 2003
Spontaneously Regressed Retinoblastoma	None	An archaic term that refers to benign, non-progressive retinal lesions in patients with mutation of the RB1 gene.
Squamous Cell Carcinoma with Horn Formation	None	A keratinizing squamous cell carcinoma characterized by the presence of horn pearls. Representative examples include squamous cell carcinomas of the face presenting as a cutaneous horn.
Squamous Cell Carcinoma	None	A carcinoma arising from squamous epithelial cells.  Morphologically, it is characterized by the proliferation of atypical, often pleomorphic squamous cells.  Squamous cell carcinomas are graded by the degree of cellular differentiation as well, moderately, or poorly differentiated.  Well differentiated carcinomas are usually associated with keratin production and the presence of intercellular bridges between adjacent cells.  Representative examples are lung squamous cell carcinoma, skin squamous cell carcinoma, and cervical squamous cell carcinoma.
Squamous Papillomatosis	None	A benign squamous neoplasm characterized by a papillary growth pattern, diffusely involving a specific anatomic site.
Stage 0 Cutaneous Melanoma AJCC v6 and v7	None	Stage 0 includes: Tis, N0, M0. Tis: Melanoma in situ. N0: No regional lymph node metastases. M0: No detectable evidence of distant metastases. (from AJCC 6th and 7th Eds.)
Stromal Neoplasm	None	A benign or malignant neoplasm composed of mesenchymal stromal cells.  Representative examples include gastrointestinal stromal tumor, endometrial stromal sarcoma, and prostate stromal sarcoma.
Struma Ovarii	None	An ovarian mature teratoma characterized by the presence of aberrant thyroid tissue. The aberrant thyroid tissue shows morphologic changes identical to thyroid adenoma or carcinoma. Patients may present with abdominal mass and unusual symptoms due to thyrotoxicosis, or Meigs syndrome (ascites and pleural effusion).
Subcutaneous Panniculitis-Like T-Cell Lymphoma	None	A cytotoxic primary cutaneous T-cell lymphoma. Recent studies suggest there are at least two groups of subcutaneous panniculitis-like T-cell lymphomas, each with distinct histologic features, immunophenotypic profile, and prognosis. One group has an alpha/beta, CD8 positive phenotype, involves only subcutaneous tissues, and usually has an indolent clinical course. The second group has a gamma/delta phenotype, is CD8 negative, often co-expresses CD56, is not confined to the subcutaneous tissues, and usually has a poor prognosis. In the recent WHO-EORTC classification, the term subcutaneous panniculitis-like T-cell lymphoma is reserved for cases with an alpha/beta, CD8 positive phenotype. Cases with a gamma/delta phenotype are included in the group of cutaneous gamma/delta T-cell lymphomas.
Subependymoma	None	Subependymoma (WHO grade I) is a benign, slow growing neoplasm which is typically attached to a ventricular wall. It is composed of glial tumor cell clusters embedded in an abundant fibrillary matrix with frequent microcystic change. Some lesions have the histological features of both subependymoma and ependymoma. It is often detected incidentally and has a very favorable prognosis. (Adapted from WHO.)
Superficial Basal Cell Carcinoma	None	A variant of basal cell carcinoma of the skin presenting as erythematous, often multiple patches.  Morphologically, it is characterized by the presence of superficial lobules of basaloid cells projecting into the dermis.  The basaloid cell lobules are surrounded by myxoid stroma and are usually confined to the papillary dermis.
Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive	None	A supratentorial ependymoma characterized by a gene fusion involving ZFTA and RELA genes. It accounts for the majority of supratentorial ependymomas in children. It has an unfavorable outcome when compared to other ependymoma subtypes.
Sweat Gland Carcinoma	None	A carcinoma arising from the sweat glands. Representative examples include tubular carcinoma, spiradenocarcinoma, eccrine carcinoma, hidradenocarcinoma, and apocrine carcinoma.
Sympathetic Paraganglioma	None	A benign or malignant paraganglioma arising from the chromaffin cells of the paraganglia that are located along the sympathetic nerves.  It includes extra-adrenal paragangliomas and paragangliomas that arise from the adrenal medulla.  The latter are commonly referred to as pheochromocytomas.  Representative examples of extra-adrenal sympathetic paragangliomas include the bladder, and superior and inferior paraaortic paragangliomas.  Clinical signs are related to the secretion of catecholamines resulting in hypertension.
Syringocystadenoma Papilliferum	None	A benign adnexal neoplasm occurring during childhood or adolescence. It usually presents as a papular lesion or a plaque on the head and neck. It may arise in an organoid nevus such as sebaceous. It is characterized by an endophytic invagination of the epithelium into the dermis. There are dermal cystic spaces present, containing villous projections. Complete excision is curative.
Syringoma	None	A benign sweat gland neoplasm usually affecting the lower eyelids and upper cheeks. The lesions are papular and are usually numerous. Morphologically, there are nests, cords, and tubules of epithelial cells present, surrounded by a dense stroma in the reticular dermis.
T Acute Lymphoblastic Leukemia	None	Acute lymphoblastic leukemia of T-cell origin.  It comprises about 15% of childhood cases and 25% of adult cases.  It is more common in males than females.  (WHO, 2001)
T-Cell Prolymphocytic Leukemia	None	An aggressive T-cell leukemia, characterized by the proliferation of small to medium sized prolymphocytes with a mature T-cell phenotype, involving the blood, bone marrow, lymph nodes, liver, spleen, and skin.  (WHO, 2001) -- 2003
Telangiectatic Osteosarcoma	None	An osteosarcoma usually arising in the metaphysis of long bones. It is characterized by the presence of a cystic architecture with blood-filled spaces. The prognosis is similar to that of conventional osteosarcoma.
Rhabdomyosarcoma	None	A rare aggressive malignant mesenchymal neoplasm arising from skeletal muscle. It usually occurs in children and young adults. Only a small percentage of tumors arise in the skeletal muscle of the extremities. The majority arise in other anatomical sites.
Salivary Gland Basal Cell Adenocarcinoma	None	A rare adenocarcinoma of the major and minor salivary glands, originating from basaloid, myoepithelial and ductal cells.  While morphologically resembling basal cell carcinomas, it is a distinct entity.  The tumor is not encapsulated, may invade locally, and less frequently may metastasize.  It usually occurs in older patients.
Salivary Gland Monomorphic Adenoma	None	A benign epithelial neoplasm arising from the salivary glands. It is characterized by the presence of a monomorphic cellular infiltrate.
Salivary Gland Sebaceous Lymphadenoma	None	A rare benign epithelial tumor composed of irregular, proliferating nests and islands of epithelium, including solid and gland-like sebaceous elements, surrounded by lymphoid stroma. Most occur in the parotid gland. Symptoms include a progressively enlarging, painless mass.  Sebaceous lymphadenocarcinoma is the malignant counterpart. -- 2003
Sarcomatoid Hepatocellular Carcinoma	None	A morphologic variant of hepatocellular carcinoma characterized by the presence of malignant spindle cells or atypical giant cells.
Sarcomatoid Renal Cell Carcinoma	None	A high grade carcinoma of the kidney.  It is not a distinct clinicopathological entity and includes a diverse group of renal cell carcinomas which have been transformed from a lower to a higher grade.
Sarcoma	None	A malignant mesenchymal tumor for which a distinct line of differentiation cannot be determined. This term may be used for small biopsy specimens for which adequate tissue is not present for definitive classification.
Scirrhous Adenocarcinoma	None	An infiltrating adenocarcinoma characterized by the presence of desmoplastic stromal reaction.
Sebaceoma	None	A benign sebaceous neoplasm arising in the deep dermis.
Seminoma	None	A radiosensitive malignant germ cell tumor found in the testis (especially undescended), and extragonadal sites (anterior mediastinum and pineal gland).  It is characterized by the presence of uniform cells with clear or dense cytoplasm which contains glycogen, and by a large nucleus which contains one or more nucleoli.  The neoplastic germ cells form aggregates separated by fibrous septa.  The fibrous septa contain chronic inflammatory cells, mainly lymphocytes.
Serous Adenofibroma	None	A benign or borderline adenofibroma characterized by the presence of serous secretory cells and minute cystic spaces filled with watery fluid. A representative example is the ovarian serous adenofibroma.
Serous Endometrial Intraepithelial Carcinoma	None	A precursor of endometrial serous adenocarcinoma characterized by the replacement of the normal endometrial cells by malignant glandular cells that resemble the malignant cells of invasive serous adenocarcinoma. The endometrial neoplastic process is non-invasive. It may coexist with invasive endometrial adenocarcinoma or can be associated with metastases outside the uterus, in the absence of invasive endometrial carcinoma.
Sertoli Cell Tumor	None	A sex cord-stromal tumor of the testis or the ovary. It is characterized by the presence of Sertoli cells forming tubules. Leydig cells are rare or absent. It may be associated with Peutz-Jeghers syndrome. In males, the presenting symptom is a slow growing testicular mass. Most cases follow a benign clinical course. In females it may present with estrogenic or androgenic manifestations. The vast majority of cases have a benign clinical course.
Sezary Syndrome	None	A generalized peripheral (mature) T-cell neoplasm characterized by the presence of erythroderma, lymphadenopathy, and neoplastic, cerebriform T-lymphocytes in the blood.  Sezary syndrome is an aggressive disease. (WHO, 2001) -- 2003
Signet Ring Cell Carcinoma	None	A usually aggressive, poorly differentiated invasive adenocarcinoma characterized by the presence of malignant glandular cells in which the nucleus is pressed to one side by the presence of intracytoplasmic mucus. It may arise from the stomach, small and large intestine, ampulla of Vater, appendix, gallbladder, pancreas, lung, bladder, breast, and prostate gland.
Sinonasal Inverted Papilloma	None	A benign neoplasm that arises from the ciliated respiratory mucosa that lines the nasal cavity or paranasal sinuses.  It results from the invagination and proliferation of epithelial cells in the underlying stroma.  Clinical manifestations include nasal obstruction, epistaxis, and anosmia. It has the tendency to recur and extend to adjacent structures.  Inverted papillomas are occasionally associated with the development or presence of carcinomas, usually squamous cell carcinomas.
Skin Adenoid Basal Cell Carcinoma	None	A variant of basal cell carcinoma morphologically characterized by the presence of thin strands of basaloid cells forming a reticulate pattern.
Skin Basosquamous Cell Carcinoma	None	A basal cell carcinoma which displays squamous differentiation. The neoplastic cells have more abundant cytoplasm with more marked keratinization than typical basal cell carcinomas. It usually has a more aggressive clinical course compared to typical basal cell carcinoma, and it may produce regional or widespread metastases.
Skin Fibrous Histiocytoma	None	A solitary, slowly growing nodular mass, most often affecting the extremities.  It is composed of fibrous and histiocytic cells which infiltrate the dermis and occasionally the underlying subcutaneous tissue.  Usually local excision is curative.  Recurrences are reported only in a small minority of cases.
Skin Metatypical Carcinoma	None	A skin carcinoma displaying cytological characteristics intermediate to nodular basal cell carcinoma and squamous cell carcinoma.
Small Cell Neuroendocrine Carcinoma	None	A neuroendocrine carcinoma composed of small malignant cells which are often said to resemble "oat cells" under the microscope.  Small cell carcinoma most often affects the lungs.  Clinically, this is often a rapidly growing cancer that spreads to distant sites early.
Small Cell Sarcoma	None	A sarcoma characterized by the presence of small round or elongated malignant cells with a small amount of cytoplasm.
Solid Pseudopapillary Neoplasm of the Ovary	None	An exceedingly rare solid pseudopapillary tumor that occurs in ectopic pancreatic tissue in the ovary.
Solid/Trabecular Variant Thyroid Gland Papillary Carcinoma	None	A morphologic variant of papillary carcinoma of the thyroid gland that predominantly affects children.  It is characterized by the presence of a solid growth pattern.  The malignant cells have nuclear features that are characteristic of papillary carcinomas of the thyroid gland.
Polygonal Cell Carcinoma	None	A malignant epithelial neoplasm composed of atypical polygonal cells with a large amount of eosinophilic cytoplasm. A representative example is the fibrolamellar hepatocellular carcinoma.
Poorly Differentiated Ovarian Sertoli-Leydig Cell Tumor	None	A Sertoli-Leydig tumor of the ovary characterized by the presence of a sarcomatoid stroma which contains primitive gonadal stromal cells. It may behave in a malignant fashion and metastasize to other anatomic sites.
Porocarcinoma In Situ	None	A rare intraepidermal neoplasia that arises from the acrosyringial portion of the eccrine duct.
Poroma	None	A benign, well circumscribed sweat gland neoplasm with eccrine or apocrine differentiation. It usually presents as a solitary, dome-shaped papule, nodule, or plaque on acral sites. It is characterized by a proliferation of uniform basaloid cells in the dermis and it is associated with the presence of focal ductal and cystic structures. Complete excision is curative.
Precancerous Melanosis	None	No value exists.
Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder	None	This entity represents a spectrum of lymphoproliferative disorders characterized by CD30 (Ki-1)-positive cutaneous T-cell infiltrates.  The two ends of the spectrum include lymphomatoid papulosis (benign end) and primary cutaneous anaplastic large cell lymphoma (malignant end).  Borderline lesions are also included in this spectrum.  (WHO, 2001)
Primary Cutaneous Follicle Center Lymphoma	None	A primary lymphoma of the skin composed of various numbers of small and large irregular neoplastic follicle center cells.  Its morphologic pattern can be nodular, diffuse, or nodular and diffuse.  It presents with solitary or grouped plaques and tumors, and it usually involves the scalp, forehead, or trunk.  It rarely involves the legs.  This type of cutaneous lymphoma tends to remain localized to the skin.
Minimally Invasive Lung Mucinous Adenocarcinoma	None	A morphologic variant of minimally invasive lung adenocarcinoma characterized by tall columnar cells and mucin production.
Mixed Cell Adenocarcinoma	None	An adenocarcinoma characterized by the presence of a mixed malignant glandular cell population.
Mixed Cellularity Classic Hodgkin Lymphoma	None	A subtype of classical Hodgkin lymphoma with scattered Reed-Sternberg and Hodgkin cells in a diffuse or vaguely nodular mixed inflammatory background without nodular sclerosing fibrosis. (WHO, 2008)
Mixed Germ Cell Tumor	None	A malignant germ cell tumor characterized by the presence of at least two different germ cell components. The different germ cell components include choriocarcinoma, embryonal carcinoma, yolk sac tumor, teratoma, and seminoma. It occurs in the ovary, testis, and extragonadal sites including central nervous system and mediastinum.
Mixed Liposarcoma	None	A malignant neoplasm characterized by the presence of a combination of liposarcomatous morphologic subtypes: myxoid/round cell and well differentiated/dedifferentiated liposarcoma or myxoid/round cell and pleomorphic liposarcoma.
Mixed Neuroendocrine Non-Neuroendocrine Neoplasm	None	A rare neoplasm that consists of neuroendocrine and non-neuroendocrine cellular components. At least 30% of either component should be present for the diagnosis to be made.
Mixed Phenotype Acute Leukemia with t(v;11q23.3); MLL Rearranged	None	B-acute lymphoblastic leukemia associated with ZNF384 gene rearrangement. The prognosis is variable.
Primary Cutaneous T-Cell Non-Hodgkin Lymphoma	None	A T-cell non-Hodgkin lymphoma arising from the skin. Representative examples include mycosis fungoides and primary cutaneous anaplastic large cell lymphoma.
Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified	None	A very rare mixed phenotype acute leukemia in which the blasts express combinations of B, T, myeloid, and megakaryocytic lineage markers but are negative for KMT2A rearrangement and t(9;22)(q34;q11.2) translocation. The prognosis is usually unfavorable.
Primary Mediastinal (Thymic) Large B-Cell Lymphoma	None	A large B-cell non-Hodgkin lymphoma arising in the mediastinum.  Morphologically it is characterized by a massive diffuse lymphocytic proliferation associated with compartmentalizing fibrosis.  Response to intensive chemotherapy, with or without radiotherapy, is usually good. (WHO, 2001)
Moderately Differentiated Ovarian Sertoli-Leydig Cell Tumor	None	A Sertoli-Leydig cell tumor of the ovary characterized by the presence of spindle-shaped gonadal stromal cells and Sertoli cells, some of which are atypical. Leydig cells are also present forming clusters at the periphery of the cellular aggregates. Metastases have been reported in a minority of patients.
Monoclonal Gammopathy of Undetermined Significance	None	A plasma cell disorder in which an abnormal amount of a single immunoglobulin is present in the serum. Up to 25% of cases of monoclonal gammopathy of undetermined significance (MGUS) progress to a B-cell malignancy or myeloma. MGUS may occur in conjunction with various carcinomas, chronic inflammatory and infectious conditions, and other diseases.
Mucin-Producing Adenocarcinoma	None	An invasive adenocarcinoma composed of malignant glandular cells which produce mucin.
Mucinous Adenofibroma	None	A benign or borderline adenofibroma characterized by the presence of epithelial cells which contain intracytoplasmic mucin and a fibrotic stroma. A representative example is the ovarian mucinous adenofibroma.
Mucinous Cystadenoma	None	A benign or low malignant potential cystic epithelial neoplasm composed of cells which contain intracytoplasmic mucin. It may arise from the ovary, pancreas, appendix, and lung.
Primitive Neuroectodermal Tumor	None	A malignant neoplasm that originates in the neuroectoderm. The neuroectoderm constitutes the portion of the ectoderm of the early embryo that gives rise to the central and peripheral nervous systems and includes some glial cell precursors.
Proliferative Nodules in Congenital Melanocytic Nevus	None	A benign proliferation of epithelioid or spindled melanocytes usually in the upper or mid dermis in a background of congenital melanocytic nevus. The congenital melanocytic nevus is usually of the deep type, involving the dermis and extending into the subcutaneous tissue. It presents as a dark plaque or nodule above a giant congenital melanocytic nevus.
Mucosal Lentiginous Melanoma	None	An acral lentiginous melanoma affecting mucosal surfaces.
Multiple Adenomatous Polyps	None	A condition in which multiple adenomas develop in the gastrointestinal tract.
Multiple Osteochondromas	None	A neoplastic chondrogenic process affecting multiple sites. Grossly and microscopically it resembles an osteochondroma.
Myelodysplastic Syndrome with del(5q)	None	A myelodysplastic syndrome characterized by a deletion between bands q31 and 33 on chromosome 5.  The number of blasts in the bone marrow and blood is <5%.  The bone marrow is usually hypercellular or normocellular with normal to increased, often hypolobated megakaryocytes.  The peripheral blood shows macrocytic anemia.  This syndrome occurs predominantly but not exclusively in middle age to older women.  The prognosis is good and transformation to acute leukemia is rare.  (WHO, 2001)
Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia	None	A myelodysplastic syndrome with ring sideroblasts and dysplastic changes involving only one myeloid cell lineage in the bone marrow.
Myelodysplastic Syndrome, Not Otherwise Specified with Single Lineage Dysplasia	None	A myelodysplastic syndrome characterized by dysplastic changes involving only one myeloid cell lineage in the bone marrow. It primarily affects older adults and includes refractory anemia, refractory neutropenia, and refractory thrombocytopenia.
Myeloid Leukemia Associated with Down Syndrome	None	Acute myeloid leukemia or myelodysplastic syndrome occurring in children with Down syndrome.  The acute myeloid leukemia is usually an acute megakaryoblastic leukemia, and is associated with GATA1 gene mutation.
Myeloid Sarcoma	None	A tumor mass composed of myeloblasts or immature myeloid cells.  It occurs in extramedullary sites or the bone.  (WHO, 2001) -- 2003
Myeloid/Lymphoid Neoplasms with JAK2 Rearrangement	None	Rare myeloid neoplasms characterized by eosinophilia, bone marrow findings of left-shifted erythroid predominance, lymphoid aggregates, and often myelofibrosis, and the detection of t(8;9)(p22;p24.1) and PCM1-JAK2 fusion gene. Rare cases present as T- or B-acute lymphoblastic leukemia.
Protoplasmic Astrocytoma	None	Protoplasmic Astrocytoma is a rare variant of Diffuse Astrocytoma. It is predominantly composed of neoplastic astrocytes showing a small cell body with few, flaccid processes with a low content of glial filaments and scant GFAP expression. This lesion is not well defined and is considered by some authors as an occasional histopathological feature rather than a reproducibly identifiable variant. When occurring in children, this neoplasm may be difficult to separate from Pilocytic Juvenile Astrocytoma. (Adapted from WHO.)
Pseudoglandular Squamous Cell Carcinoma	None	A squamous cell carcinoma characterized by the formation of gland-like structures.
Pseudomyxoma Peritonei	None	A well differentiated mucinous adenocarcinoma of the peritoneum.  The vast majority of cases represent tumor spread from a primary well differentiated mucinous adenocarcinoma of the appendix.  Cases of pseudomyxoma peritonei associated with mucinous adenocarcinomas of the gallbladder, stomach, colon, rectum, pancreas, lung, breast, and fallopian tubes have also been reported.  In the past, the ovary has been considered as a common primary site associated with pseudomyxoma peritonei.  However, there is recent evidence based on immunohistochemistry and molecular genetic analysis suggesting that most cases of pseudomyxoma peritonei probably represent metastasis from an appendiceal and not ovarian primary. --2005
Pulmonary Blastoma	None	A malignant neoplasm of the lung composed of tubular structures and immature mesenchymal elements, which may differentiate towards skeletal and smooth muscle, cartilage or a combination of muscle and cartilage.  This is a nodular tumor found in the periphery of the lung.  It can occur at any age.  The prognosis is related to the stage of the disease at the time of resection.  Pulmonary blastoma is divided into two subtypes: epithelial predominant and biphasic.
Refractory Anemia with Excess Blasts in Transformation	None	Refractory anemia with excess blasts in transformation (RAEB-T) is characterised by dysplastic features of the myeloid and usually erythroid progenitor cells in the bone marrow and an increased number of myeloblasts in the peripheral blood.  The peripheral blood blast count ranges from 20% to 30%.  RAEB-T used to be a subcategory of myelodysplastic syndromes in the past.  Recently, the term has been eliminated from the WHO based classification of myelodysplastic syndromes.  The reason is that the percentage of peripheral blood blasts required for the diagnosis of acute myeloid leukemia has been reduced to 20%.  The elimination of the RAEB-T term by the WHO experts has created confusion and ongoing arguments.  Currently, according to WHO classification, the vast majority of RAEB-T cases are best classified as acute leukemias (acute leukemias with multilineage dysplasia following myelodysplastic syndrome).  A minority of cases are part of RAEB-2.
Renal Cell Carcinoma, Not Otherwise Specified	None	A renal cell carcinoma that cannot be classified into one of the established subtypes of renal cell carcinoma.
Rete Ovarii Adenoma	None	An adenoma that arises from the rete ovarii.  It is composed of elongated tubules.  The clinical course is benign.
Retinocytoma	None	A rare, unilateral or bilateral benign neoplasm that arises from the retina. There is an increased risk of malignant transformation to retinoblastoma; therefore, patients with a diagnosis of retinocytoma should be closely observed.
Rhabdomyoma	None	A benign neoplasm arising from striated muscle. It is characterized by the presence of rhabdomyoblasts.
Periosteal Osteosarcoma	None	An intermediate grade malignant bone-forming mesenchymal neoplasm with chondroblastic differentiation.  The tumor arises from the surface of the bone and affects the diaphysis or diaphyseal- metaphyseal portion of the long bones.  A painless mass or swelling is the most common clinical sign.  It is associated with a better prognosis than conventional osteosarcoma.
Peripheral T-Cell Lymphoma, Not Otherwise Specified	None	Aggressive nodal or extranodal mature (peripheral) T-cell lymphomas that do not belong to the better defined entities of the remainder of mature T-cell lymphomas.  This category includes the following variants: lymphoepithelioid cell variant (Lennert's lymphoma), follicular variant, and T-zone variant.
Pigmented Adrenal Cortical Adenoma	None	A usually functioning adenoma of the adrenal cortex. Grossly, it has a dark brown appearance and is characterized by the presence of neoplastic cells containing abundant intracytoplasmic lipofuscin. It may be associated with Cushing syndrome.
