PERMITTED_VALUE	DESCRIPTION	DEFINITION
NRG1	NRG1 Gene	This gene plays a role in cellular differentiation, growth and proliferation.
NRAS	NRAS Gene	This gene plays a role in signal transduction and cell cycle regulation.
NR4A3	NR4A3 Gene	This gene is involved in the modulation of transcription.
NPM1	NPM1 Gene	This gene is involved in the regulation of ribosomal assembly.
NOTCH2	NOTCH2 Gene	This gene plays a role in cell-cell signaling.
NOTCH1	NOTCH1 Gene	This gene is involved in intercellular signal transduction that plays a key role in development.
NONO	NONO Gene	This gene may play a role in both transcriptional regulation and nuclear RNA processing.
NKX2-1	NKX2-1 Gene	This gene plays a role in thyroid gene transcription.
NIN	NIN Gene	This gene is involved in the localization of the centrosome.
NFKBIE	NFKBIE Gene	This gene plays a role in signal transduction and regulation of transcription. It is involved in the immune response.
NFKB2	NFKB2 Gene Immunodeficiency Syndrome	This gene plays a role in transcriptional regulation, signal transduction and inflammatory responses.: A deficiency of immune response or a disorder characterized by deficient immune response.
NFIB	NFIB Gene	This gene plays a role in transcriptional regulation and mediates DNA-binding interactions.
NFE2L2	NFE2L2 Gene	This gene plays a role in transcriptional regulation.
NFATC2	NFATC2 Gene	This gene is involved in cytokine gene transcription.
NF2	NF2 Gene	This gene plays a role in cell adhesion and cytoskeletal remodeling. It is also involved in suppression of cell growth.
NF1	NF1 Gene	This gene plays a role in signal transduction and cytoskeletal remodeling.
NDRG1	NDRG1 Gene	This gene plays a role in cellular stress responses. It is also involved in both cell growth and differentiation.
NCOR2	NCOR2 Gene	This gene plays a role in repression of transcription. It is also involved in chromatin remodeling.
NCOR1	NCOR1 Gene	This gene is involved in chromatin remodeling and repression of transcription.
NCOA4	NCOA4 Gene	This gene is involved in the transcriptional activation of target genes.
NCOA2	NCOA2 Gene	This gene is involved in regulation of transcription. It also plays a role in myogenic differentiation.
NCOA1	NCOA1 Gene	This gene plays a role in regulation of transcription.
NCKIPSD	NCKIPSD Gene	This gene plays a role in stress fiber formation.
NBN	NBN Gene	This gene plays a role in DNA repair and cell cycle checkpoints.
NBEA	NBEA Gene	This gene plays a role in membrane-targeting of protein kinase A.
NACA	NACA Gene	This gene plays a role in protein sorting.
NAB2	NAB2 Gene	This gene plays a role in the repression of gene transcription.
MYOD1	MYOD1 Gene	This gene plays a role in DNA binding and myogenesis.
MYO5A	MYO5A Gene	This gene is involved in vesicle transport along actin filaments.
MYH9	MYH9 Gene	This gene is involved in both cytoskeleton modeling and cytokinesis.
MYH11	MYH11 Gene	This gene plays a regulatory role in muscle contraction and the required ATP hydrolysis.
MYD88	MYD88 Gene	This gene is involved in the modulation of proinflammatory gene expression.
MYCN	MYCN Gene	This gene is involved in transcriptional regulation and amplification of this gene is associated with a variety of tumors, most notably neuroblastomas.
MYCL	MYCL1 Gene	This gene is involved in transcriptional regulation and is frequently amplified in small-cell lung cancer.
MYC	MYC Gene	This gene plays a role in cell cycle progression and apoptosis. Cytogenetic aberrations in the gene are involved in cellular transformation and are associated with a variety of hematopoietic tumors, leukemias and lymphomas.
MYB	MYB Gene	This gene plays a role in hematopoietic cell proliferation and development.
MUTYH	MUTYH Gene	This gene plays a role in the repair of oxidative DNA damage.
MUC16	MUC16 Gene	This gene is involved in both cellular adhesion and the maintenance of mucosal surfaces.
SPOP	SPOP Gene	This gene may be involved in both transcriptional repression and protein ubiquitination.
SPEN	SPEN Gene	This gene plays a role in hormone-mediated transcriptional regulation.
SPECC1	SPECC1 Gene	This gene may be involved in nuclear structure.
SOX2	SOX2 Gene	This gene is involved in embryonic development and in the determination of cell fate.
SOCS1	SOCS1 Gene	This gene is involved in the attenuation of cytokine signaling.
SND1	SND1 Gene	This gene plays a role in both transcriptional regulation and RNA interference.
SMO	SMO Gene	This gene plays a role in G protein-coupled receptor signal transduction and sonic hedgehog pathway activation.
SMC1A	SMC1A Gene	This gene is involved in maintenance of sister chromatid cohesion during mitosis.
SMARCE1	SMARCE1 Gene	This gene is involved in chromatin remodeling and regulation of transcription.
SMARCD1	SMARCD1 Gene	This gene plays a role in chromatin remodeling and regulation of transcription.
SMARCB1	SMARCB1 Gene	This gene plays a role in chromatin remodeling and regulation of transcription.
SMARCA4	SMARCA4 Gene	This gene plays a role in chromatin remodeling, cell cycle control and regulation of transcription.
SMAD4	SMAD4 Gene	This gene plays a role in signal transduction and transcriptional activation. It is also involved in suppression of angiogenesis.
SMAD3	SMAD3 Gene	This gene is involved in signal transduction and apoptosis. It also plays a role in the regulation of both steroid synthesis and T-cell response.
SMAD2	SMAD2 Gene	This gene plays a role in signal transduction and repression of transcription.
SLC45A3	SLC45A3 Gene	This gene plays a role in transmembrane transport.
SLC34A2	SLC34A2 Gene	This gene plays a role in phosphate transport.
SKI	SKI Gene	This gene is involved in transcriptional regulation and is involved in cellular signal transduction.
